Phase,Task ID,Task,รายละเอียด,Man-days,สัปดาห์,ช่วงวันที่,Status
Phase 0 - Foundation & Setup,0.1,เลือก Payment Provider,ศึกษาและตัดสินใจ provider (Omise / GB Prime Pay / 2C2P ฯลฯ),1,Week 1,14–18 มี.ค.,
Phase 0 - Foundation & Setup,0.2,สร้าง sandbox account & เชื่อม credentials,ลงทะเบียน sandbox ตั้งค่า API key ใน application.properties,0.5,Week 1,14–18 มี.ค.,
Phase 0 - Foundation & Setup,0.3,ออกแบบ Database Schema,ออกแบบ PaymentTransaction table / index / FK กับ order,0.5,Week 1,14–18 มี.ค.,
Phase 0 - Foundation & Setup,0.4,สร้าง Entity + Repository,PaymentTransaction / PaymentTransactionRepository (JPA),0.5,Week 1,14–18 มี.ค.,
Phase 0 - Foundation & Setup,0.5,สร้าง base PaymentService + Exception,interface / custom exceptions / error response structure,0.5,Week 1,14–18 มี.ค.,
Phase D - Document Submission & Delivery,D0.1,ออกแบบ DB Schema,DocumentSubmission / DocumentSubmissionItem / StatusHistory / DeliveryAddress,0.5,Week 2,21–25 มี.ค.,
Phase D - Document Submission & Delivery,D0.2,สร้าง Entity + Repository,JPA entities ทั้งหมด,1,Week 2,21–25 มี.ค.,
Phase D - Document Submission & Delivery,D1.1,API: ที่อยู่จัดส่ง (CRUD),GET / POST / PUT / DELETE / PATCH default,1.5,Week 2,21–25 มี.ค.,
Phase D - Document Submission & Delivery,D2.1,API: ยื่นเอกสาร,Controller + Service + DTO + validation,1.5,Week 3,28 มี.ค. – 1 เม.ย.,
Phase D - Document Submission & Delivery,D2.2,Snapshot ที่อยู่จัดส่ง,บันทึก address snapshot ณ เวลาที่ยื่น,0.5,Week 3,28 มี.ค. – 1 เม.ย.,
Phase D - Document Submission & Delivery,D3.1,API: ดู status + timeline,GET status + timeline history,1,Week 3,28 มี.ค. – 1 เม.ย.,
Phase D - Document Submission & Delivery,D3.2,API: Admin อัปเดต status,PUT status + บันทึก history,1,Week 3,28 มี.ค. – 1 เม.ย.,
Phase D - Document Submission & Delivery,D3.3,API: Admin อัปเดต item status,PUT document item status + remark,0.5,Week 3,28 มี.ค. – 1 เม.ย.,
Phase D - Document Submission & Delivery,D4.1,FCM notification,แจ้งเตือนทุกครั้งที่ status เปลี่ยน,0.5,Week 4,4–8 เม.ย.,
Phase D - Document Submission & Delivery,D4.2,Unit test + Integration test,ครอบคลุม flow ทั้งหมด,1,Week 4,4–8 เม.ย.,
Phase 1 - PromptPay,1.1,Integrate QR Code generation,เรียก provider API สร้าง EMVCo QR / บันทึก transaction,1.5,Week 4,4–8 เม.ย.,
Phase 1 - PromptPay,1.2,API: POST /promptpay/qr,Controller + Service + DTO + validation,1,Week 4,4–8 เม.ย.,
Phase 1 - PromptPay,1.3,Webhook handler,รับ callback / ตรวจสอบ signature / อัปเดต status,1,Week 4,4–8 เม.ย.,
Phase 1 - PromptPay,1.4,API: GET /promptpay/{id}/status,ตรวจสอบสถานะ transaction,0.5,Week 5,11–15 เม.ย.,
Phase 1 - PromptPay,1.5,FCM notification,แจ้งเตือนเมื่อชำระสำเร็จ / หมดอายุ,0.5,Week 5,11–15 เม.ย.,
Phase 1 - PromptPay,1.6,Unit test + Integration test,ครอบคลุม happy path + edge case,1,Week 5,11–15 เม.ย.,
